,Wavlength,Coefficient
514,6632.44043,0.065258944
515,5582.060547,-0.063001423
516,5582.046875,-0.006175031
517,4454.72168,-0.061540392
518,5424.017578,-0.061080985
519,6648.085449,0.060381312
520,6149.894043,-0.059359707
521,4468.453613,-0.059112064
522,4468.429199,-0.052876298
523,4468.441406,-0.050671935
524,5481.434082,0.057781785
525,4574.404297,0.057279029
526,4549.597168,-0.056846312
527,4549.694336,-0.039559692
528,4549.666504,-0.036839443
529,4549.569336,-0.032212375
530,4548.812012,-0.024898361
531,4549.583008,-0.005341221
532,5371.507324,0.055944378
533,4616.188477,-0.055298448
534,4616.085449,-0.041077021
535,5921.90625,0.054935802
536,5921.888672,0.025081828
537,4613.26123,-0.053246167
538,6322.762207,-0.0532317
539,5511.85498,-0.052695223
540,4489.685547,-0.052578132
541,4490.120117,-0.01796071
542,4489.69873,-0.000501437
543,4733.653809,-0.052296483
544,4399.721191,-0.051839691
545,5700.228516,0.051217896
546,5453.66748,0.050006363
547,6131.737793,0.048244376
548,4349.249512,0.048175552
549,6576.775879,-0.047543088
550,5576.052246,-0.047187253
551,6646.90918,0.046372259
552,4948.937012,0.044401873
553,4949.522461,0.009080583
554,4756.483887,-0.044108634
555,5275.194336,0.043512541
556,6151.557129,-0.041899983
557,6324.992188,0.040798619
558,6115.695313,-0.039567472
559,5463.34082,-0.039360579
560,4994.20459,-0.038865612
561,5617.138672,0.038841183
562,6425.995117,-0.03832624
563,4347.929199,0.037703583
564,4944.825195,0.037287522
565,4484.195313,-0.037274985
566,6833.355469,-0.037238907
567,5170.992188,0.036908024
568,4600.713867,-0.036580484
569,4600.803223,-0.009371239
570,6305.635742,0.036273734
571,4918.939941,-0.035378762
572,6224.509277,0.034976581
573,5934.742676,-0.034854534
574,5300.801758,-0.034468105
575,5929.748535,-0.034319264
576,4941.741211,0.033260443
577,5586.726563,-0.032567404
578,4359.687988,-0.032079158
579,6233.855957,-0.031282447
580,6332.743164,-0.030990184
581,5779.252441,-0.029446852
582,4946.026367,0.029038961
583,6655.076172,-0.028837826
584,6265.074707,-0.028500673
585,6265.229492,-0.013106119
586,5040.635742,0.028410423
587,5039.917969,-0.006161022
588,6657.94873,-0.028188988
589,5164.394531,0.028121125
590,4547.89209,-0.025632748
591,4433.82373,-0.025262422
592,4951.82666,0.025127735
593,5068.823242,-0.024981995
594,4620.479004,0.024788391
595,4508.275879,-0.024517409
596,6289.92041,0.024287168
597,5940.120605,-0.024216301
598,4741.583008,-0.023924678
599,4422.620117,-0.022955606
600,4422.633301,-0.002376669
601,6232.588867,-0.022840169
602,6232.570801,-0.010033738
603,4379.162598,-0.02142727
604,4980.118164,-0.020989518
605,4546.008301,-0.019562218
606,5426.241699,0.019452042
607,5064.731445,-0.019412176
608,5181.9375,0.019258453
609,4606.170898,0.019080654
610,6728.270996,-0.017831274
611,6301.57373,-0.016777345
612,6464.293945,0.014625585
613,4475.979004,-0.013513386
614,4382.851563,0.013111896
615,4592.59668,-0.010995387
616,4966.157715,-0.010879848
617,4395.114746,-0.010512155
618,4341.845703,0.008513206
619,5220.900879,0.008309945
620,4646.232422,-0.007341769
621,4646.256348,-0.004441902
622,5045.412109,0.006510942
623,4408.589844,-0.006486093
624,6200.380371,-0.005457237
625,5731.23291,0.003345743
